,prompt,classes,answer_index
0,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""rick grew up in a troubled* household.""
 A. ""rick grew up in a untroubled household.""
 B. ""rick grew up in a troubled household.""
Output:","[' A.', ' B.']",0
1,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""he never found good support in family, and turned* to gangs.""
 A. ""he never found good support in family, and unturned to gangs.""
 B. ""he never found good support in family, and turned to gangs.""
Output:","[' A.', ' B.']",0
2,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""it wasn't long* before rick got shot in a robbery.""
 A. ""it wasn't long before rick got shot in a robbery.""
 B. ""it wasn't short before rick got shot in a robbery.""
Output:","[' A.', ' B.']",1
3,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""the incident caused him to turn a new* leaf.""
 A. ""the incident caused him to turn a worn leaf.""
 B. ""the incident caused him to turn a new leaf.""
Output:","[' A.', ' B.']",0
4,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""laverne tests one of the brownies to make sure* it is delicious.""
 A. ""laverne tests one of the brownies to make trusted it is delicious.""
 B. ""laverne tests one of the brownies to make unsure it is delicious.""
Output:","[' A.', ' B.']",1
5,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""she had finally saved* enough for the trip.""
 A. ""she had finally saved enough for the trip.""
 B. ""she had finally lost enough for the trip.""
Output:","[' A.', ' B.']",1
6,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""she landed in spain and traveled east across the continent*.""
 A. ""she landed in spain and traveled east across the continent.""
 B. ""she landed in spain and traveled east across the incontinent.""
Output:","[' A.', ' B.']",1
7,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""she didn't like how different* everything was.""
 A. ""she didn't like how same everything was.""
 B. ""she didn't like how different everything was.""
Output:","[' A.', ' B.']",0
8,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""gina was worried the cookie dough in the tube would be gross*.""
 A. ""gina was worried the cookie dough in the tube would be gross.""
 B. ""gina was worried the cookie dough in the tube would be net.""
Output:","[' A.', ' B.']",1
9,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been working so hard this past* month.""
 A. ""he had been working so hard this present month.""
 B. ""he had been working so hard this past month.""
Output: A

Input: ""he ordered* tickets for a weekend snowboarding trip.""
 A. ""he ordered tickets for a weekend snowboarding trip.""
 B. ""he disordered tickets for a weekend snowboarding trip.""
Output: B

Input: ""olivia went out* with harry on a date.""
 A. ""olivia went safe with harry on a date.""
 B. ""olivia went out with harry on a date.""
Output: A

Input: ""harry thought the date was going well*.""
 A. ""harry thought the date was going well.""
 B. ""harry thought the date was going ill.""
Output: B

Input: ""olivia thinks he is a complete* jerk and never wants to see him again.""
 A. ""olivia thinks he is a consummate jerk and never wants to see him again.""
 B. ""olivia thinks he is a incomplete jerk and never wants to see him again.""
Output: B

Input: ""i called a couple of friends, but they were busy*.""
 A. ""i called a couple of friends, but they were fussy.""
 B. ""i called a couple of friends, but they were idle.""
Output: B

Input: ""finally, i called my grandson, who came right* over.""
 A. ""finally, i called my grandson, who came right over.""
 B. ""finally, i called my grandson, who came wrong over.""
Output: B

Input: ""he helped me move the bed to the right* spot.""
 A. ""he helped me move the bed to the wrong spot.""
 B. ""he helped me move the bed to the right spot.""
Output: A

Input: ""hannah had a beautiful* cat that she loved very much.""
 A. ""hannah had a ugly cat that she loved very much.""
 B. ""hannah had a beautiful cat that she loved very much.""
Output: A

Input: ""however, she noticed* that her cat was getting very old.""
 A. ""however, she unnoticed that her cat was getting very old.""
 B. ""however, she noticed that her cat was getting very old.""
Output: A

Input: ""she was very happy to find she was wrong*.""
 A. ""she was very happy to find she was wrong.""
 B. ""she was very happy to find she was right.""
Output:","[' A.', ' B.']",1
